19,022972
24,463984
16,361151
16,830354
15,179831
19,614498
20,981495
17,633193
15,846599
20,170705
18,785797
16,643824
17,184654
20,430024
16,293479
16,202572
17,118388
16,481043
34,484199
17,620616
16,390175
13,656438
19,572755
16,713446
14,235273
15,527536
14,099252
16,695746
19,908256
16,653678
19,082601
26,519502
19,752042
16,955751
15,571748
16,612224
16,409648
19,816131
26,198464
20,018956
27,502429
15,304612
15,197207
19,174540
21,513926
18,522963
18,387033
13,017348
12,349466
15,679930
17,176642
15,621442
20,274056
30,261110
19,683414
20,405504
20,408362
20,778023
23,245179
16,173556
15,846459
19,891302
23,064391
18,063783
14,474127
20,384071
22,859051
15,616776
19,203373
15,745790
16,560871
17,335325
14,344287
23,790769
14,132082
19,546960
16,254606
21,186926
17,445016
23,234590
13,999011
25,133943
20,291149
26,357134
20,797825
16,131849
17,453005
19,227982
20,130390
14,613048
20,321811
19,030835
13,726215
13,242802
14,227622
15,369066
15,383721
18,630681
18,807756
17,499429
