10,823059
6,943680
12,235468
12,875663
9,089387
8,932003
11,393875
9,881240
6,950769
6,147534
5,383097
8,464344
6,798844
6,262616
5,988951
12,638386
5,436013
8,744696
11,156949
7,781580
8,740260
8,614861
8,523952
7,906769
6,476633
7,314535
7,818551
9,059036
6,163475
5,413238
8,646443
9,706036
6,518727
9,537196
15,371124
7,679638
4,792463
9,632338
8,962250
7,079853
6,535541
15,254277
11,368739
12,100769
7,886809
5,967302
8,485774
6,414667
9,588075
13,298792
5,949614
10,772010
16,805070
11,842898
9,151090
10,794978
12,413426
7,276834
8,913620
5,958694
13,818908
7,350211
7,841634
13,338516
7,281181
16,613910
17,099569
9,232225
8,569024
10,235906
7,464398
11,942086
9,728063
6,522594
9,137864
6,666344
5,596003
11,707294
8,186832
6,018654
6,751106
9,251017
7,553928
8,994523
11,532254
10,812325
5,634498
5,727503
6,700301
5,825709
15,986542
6,616404
11,713576
4,291017
9,855383
12,995568
9,865581
8,719341
6,993335
5,341257
