21,671657
19,595640
8,369325
11,082890
7,552173
8,681521
16,849964
7,665992
10,834135
11,914387
22,181337
13,467235
16,916945
27,766313
13,416170
15,262893
10,307632
17,524165
9,900223
23,979958
8,647795
15,250027
9,077930
9,678285
18,424985
12,354100
10,941897
12,643051
10,989483
17,371931
9,357686
29,492146
12,534249
14,076252
14,804330
16,504182
13,460781
14,199102
9,970309
8,245091
9,139645
15,481633
11,691982
16,420247
16,698158
23,077560
13,080874
24,596767
12,495075
15,233301
11,836395
9,848247
11,309287
12,108642
20,902351
12,740503
12,168589
12,881924
9,566079
12,223569
9,359449
12,633877
12,789354
10,590530
18,862126
21,879158
7,160231
12,024743
9,567081
13,825154
10,095327
14,425416
7,201950
12,943965
13,693371
14,076752
14,144905
9,600751
12,645852
12,734650
7,682712
19,791151
24,186646
10,026526
14,009454
15,629211
8,421648
13,832889
10,691761
21,219894
15,194529
17,127374
13,543818
13,594091
9,304268
11,939484
10,238904
13,722990
10,212265
11,703749
